time,KE,T,PE,total E
0.655,788.71151549,1.02696811913,-2450.70357908,-1661.99206359
0.66,790.999649101,1.02994745977,-2452.99117469,-1661.99152559
0.665,794.699929388,1.03476553306,-2456.70567563,-1662.00574624
0.67,799.516815848,1.04103752064,-2461.54515894,-1662.0283431
0.675,805.000253132,1.04817741293,-2467.05619097,-1662.05593784
0.68,810.618328524,1.05549261527,-2472.70971684,-1662.09138832
0.685,815.7502315,1.0621747806,-2477.88813805,-1662.13790655
0.69,819.668729539,1.06727699159,-2481.85411151,-1662.18538197
0.695,821.665293057,1.06987668367,-2483.88191322,-1662.21662016
0.7,821.336014211,1.06944793517,-2483.54672367,-1662.21070946
0.705,818.861193608,1.06622551251,-2481.02109387,-1662.15990026
0.71,815.026574299,1.06123251862,-2477.11943745,-1662.09286315
0.715,810.883936214,1.05583845861,-2472.92489432,-1662.0409581
0.72,807.315931912,1.05119261968,-2469.32903138,-1662.01309947
0.725,804.897590523,1.04804373766,-2466.89281885,-1661.99522832
0.73,803.972241577,1.04683885622,-2465.96555449,-1661.99331292
0.735,804.602827634,1.04765993182,-2466.6185501,-1662.01572247
0.74,806.478717091,1.05010249621,-2468.53205431,-1662.05333722
0.745,809.057999618,1.053460937,-2471.14168032,-1662.0836807
0.75,811.846335476,1.05709158265,-2473.94654815,-1662.10021267
0.755,814.564525276,1.06063089229,-2476.66585177,-1662.1013265
0.76,817.159010443,1.06400912818,-2479.25335578,-1662.09434534
0.765,819.738514209,1.06736785704,-2481.81956586,-1662.08105165
0.77,822.512969296,1.07098042877,-2484.58167741,-1662.06870811
0.775,825.684388981,1.07510988149,-2487.74861192,-1662.06422293
0.78,829.313564434,1.07983537036,-2491.38458246,-1662.07101803
0.785,833.24080095,1.08494895957,-2495.33156942,-1662.09076847
0.79,837.100855365,1.08997507209,-2499.2173348,-1662.11647943
0.795,840.405184633,1.09427758416,-2502.54828934,-1662.14310471
0.8,842.641601021,1.09718958466,-2504.80829417,-1662.16669315
0.805,843.379052899,1.09814980846,-2505.55539781,-1662.17634491
0.81,842.43616033,1.09692208376,-2504.59001414,-1662.15385381
0.815,840.104911668,1.09388660374,-2502.20040595,-1662.09549428
0.82,837.2407383,1.09015721133,-2499.25137747,-1662.01063918
0.825,835.031727305,1.08728089493,-2496.96903819,-1661.93731089
0.83,834.480534177,1.08656319554,-2496.39047619,-1661.90994202
0.835,835.949006387,1.08847526873,-2497.88017734,-1661.93117095
0.84,839.079677812,1.09255166382,-2501.0619957,-1661.98231789
0.845,843.055250089,1.09772819022,-2505.0965668,-1662.04131672
0.85,846.901868889,1.10273680845,-2509.00270641,-1662.10083752
0.855,849.691781949,1.10636950775,-2511.83735431,-1662.14557236
0.86,850.749924027,1.10774729691,-2512.91108179,-1662.16115776
0.865,849.88073435,1.10661553952,-2512.0139188,-1662.13318445
0.87,847.507917098,1.10352593372,-2509.58185532,-1662.07393822
0.875,844.500452444,1.09960996412,-2506.51923688,-1662.01878444
0.88,841.664183159,1.09591690516,-2503.66700572,-1662.00282256
0.885,839.270335407,1.09279991589,-2501.29972077,-1662.02938536
0.89,836.981778249,1.08982002376,-2499.05968697,-1662.07790873
0.895,834.138969689,1.08611845012,-2496.26466913,-1662.12569944
0.9,830.121292946,1.08088710019,-2492.27452495,-1662.15323201
0.905,824.605718551,1.0737053627,-2486.76002623,-1662.15430768
0.91,817.699550848,1.06471295683,-2479.82814348,-1662.12859263
0.915,809.94737578,1.05461897888,-2472.02775707,-1662.08038129
0.92,802.289850671,1.04464824306,-2464.29482618,-1662.00497551
0.925,795.993007757,1.03644922885,-2457.91354346,-1661.9205357
0.93,792.381905871,1.03174727327,-2454.24419952,-1661.86229365
0.935,792.32627783,1.03167484092,-2454.19071959,-1661.86444176
0.94,795.822154821,1.03622676409,-2457.74545896,-1661.92330413
0.945,802.065910696,1.04435665455,-2464.06381242,-1661.99790172
0.95,809.937744118,1.05460643765,-2471.99434947,-1662.05660535
0.955,818.508152332,1.06576582335,-2480.59384812,-1662.08569579
0.96,827.177655593,1.07705423905,-2489.28741688,-1662.10976129
0.965,835.366866856,1.08771727455,-2497.52497789,-1662.15811104
0.97,842.219511103,1.09663998842,-2504.43301261,-1662.21350151
0.975,846.821741493,1.1026324759,-2509.05832328,-1662.23658178
0.98,848.722082766,1.1051068786,-2510.93602118,-1662.21393842
0.985,848.112214538,1.10431277935,-2510.28502623,-1662.17281169
0.99,845.529520881,1.10094989698,-2507.66751337,-1662.13799249
0.995,841.514906173,1.09572253408,-2503.62851357,-1662.1136074
1.0,836.590091917,1.08931001552,-2498.6655612,-1662.07546928
1.005,831.483189613,1.08266040314,-2493.4913556,-1662.00816598
1.01,827.211533183,1.0770983505,-2489.15423621,-1661.94270302
1.015,824.698207857,1.07382579148,-2486.62617339,-1661.92796553
1.02,824.131246012,1.07308755991,-2486.11314376,-1661.98189774
1.025,824.755805931,1.07390078897,-2486.81949206,-1662.06368613
1.03,825.374014636,1.07470574822,-2487.49958366,-1662.12556902
1.035,825.007749613,1.07422884064,-2487.15818243,-1662.15043281
1.04,823.220714187,1.0719019716,-2485.36736557,-1662.14665139
1.045,820.079252223,1.06781152633,-2482.20272054,-1662.12346831
1.05,815.963348116,1.06245227619,-2478.0598142,-1662.09646609
1.055,811.367055639,1.05646752036,-2473.44070348,-1662.07364784
1.06,806.767004136,1.05047786997,-2468.82236343,-1662.05535929
1.065,802.624115849,1.04508348418,-2464.65497055,-1662.0308547
1.07,799.451511635,1.04095248911,-2461.45231344,-1662.00080181
1.075,797.796591609,1.03879764532,-2459.77248281,-1661.97589121
1.08,798.046926118,1.03912360172,-2460.02437103,-1661.97744491
1.085,800.167022721,1.04188414417,-2462.18126221,-1662.01423949
1.09,803.598689014,1.04635245965,-2465.67060563,-1662.07191661
1.095,807.480596683,1.05140702693,-2469.60553715,-1662.12494046
1.1,810.985265499,1.05597039779,-2473.14467197,-1662.15940647
1.105,813.493990884,1.0592369673,-2475.67593276,-1662.18194188
1.11,814.614132569,1.06069548512,-2476.80785136,-1662.19371879
1.115,814.173243077,1.06012141026,-2476.36313667,-1662.18989359
1.12,812.261737096,1.05763247018,-2474.43089931,-1662.16916222
1.125,809.216885033,1.05366781905,-2471.36657066,-1662.14968562
1.13,805.41675999,1.04871973957,-2467.56465392,-1662.14789393
1.135,800.982800389,1.04294635467,-2463.16132452,-1662.17852413
1.14,795.652409068,1.03600574097,-2457.87478164,-1662.22237257
1.145,788.98721385,1.02732710137,-2451.23372532,-1662.24651147
1.15,780.826564871,1.01670125634,-2443.05000241,-1662.22343754
1.155,771.675817622,1.00478622086,-2433.82645476,-1662.15063714
1.16,762.718433602,0.993122960419,-2424.76934379,-1662.05091019
1.165,755.465049574,0.983678449966,-2417.42878699,-1661.96373741
1.17,751.243646458,0.978181831325,-2413.16048856,-1661.9168421
1.175,750.748316536,0.97753687049,-2412.67349523,-1661.9251787
1.18,753.834004026,0.981554692742,-2415.81494983,-1661.98094581
1.185,759.656362662,0.989135888882,-2421.71069608,-1662.05433341
1.19,767.054048036,0.998768291713,-2429.17416511,-1662.12011707
1.195,774.946929683,1.00904548136,-2437.10971478,-1662.1627851
1.2,782.573027844,1.01897529667,-2444.75694086,-1662.18391302
1.205,789.51361103,1.02801251436,-2451.70184503,-1662.188234
1.21,795.625387662,1.03597055685,-2457.8041702,-1662.17878254
1.215,800.960701653,1.04291758028,-2463.12359021,-1662.16288856
1.22,805.688439207,1.04907348855,-2467.83803536,-1662.14959615
1.225,809.941009498,1.05461068945,-2472.08997202,-1662.14896252
1.23,813.634984213,1.05942055236,-2475.80280202,-1662.16781781
1.235,816.426619119,1.06305549364,-2478.62295329,-1662.19633417
1.24,817.870172062,1.06493511987,-2480.08576592,-1662.21559385
1.245,817.665899063,1.0646691394,-2479.88214574,-1662.21624667
1.25,815.77728638,1.06221000831,-2477.97759642,-1662.20031004
1.255,812.451819344,1.0578799731,-2474.61940856,-1662.16758922
1.26,808.205231582,1.05235056196,-2470.32880746,-1662.12357588
1.265,803.730177763,1.04652366896,-2465.81181385,-1662.08163609
